RAE1 NUP153
CDC6 LIN37
NRAS SPTBN5
POLR2F WDR61
ITGAL 813949
MED4 ZNF699
PTBP1 PRPF19
CCL4L2 TAS2R43
NUP42 NUP160
TUBA3C TUBB1
ERCC2 POLR2B
COLGALT1 ADAMTS14
RXRA MED8
RPL12 RPL32
POLR2I SF3A1
GRIN2C GRM1
EP300 H2AC21
SSNA1 CEP70
HELZ2 MED11
FDFT1 HDAC3
CNTF IL31RA
TOR1A TACR1
CD19 PIK3CA
CD1B KLRB1
TTLL2 TPGS1
TUBA1B DYNLRB1
OR2A4 OR2V2
NDUFB3 NDUFS4
CD177 ADGRE3
PSMD4 PSMD13
LIG3 RPA1
MAPK1 TENT4A
HSPA8 EEF1AKMT2
FGF19 RASGEF1A
FBXL5 KBTBD7
IMP4 100861532
HNRNPU SMNDC1
PSMD12 H2AC14
H2BC13 H2AC19
LCK PIK3R3
FBXL7 FBXW12
PSMC3 TNFSF12-TNFSF13
SKP1 STAT5B
PLAU RNASET2
SNRPD3 SLU7
WNT5A STAM2
OR8B2 OR52B6
HLA-G ITGB2
UBE2I NUP50
ASAH1 DNAJC3
ADAMTS8 SBSPON
CD74 KIF5A
MAPRE1 SPC24
OR4K5 OR2M5
GCG GNB2
RPL8 RPS20
PLA2G2D LCLAT1
RPL10 DDX52
DOCK2 STK11IP
RGS22 PCP2
ADRA1A RGS5
AGL KCNAB2
FGF6 PPP2R5D
SERPIND1 IGFBP1
OAT ALDH18A1
DNAJB1 DYNC1LI1
IQGAP1 CNKSR2
NUB1 KLHL11
RPS25 EXOSC7
ARHGDIA STARD8
OXA1L ERAL1
ZNF223 ZNF710
FBXL4 FBXL22
CUL7 KLHL22
LDLR FCHO2
AP2B1 L1CAM
PSMC6 PSMD6
ZNF587 ZNF860
ELP1 MEAF6
TAS2R38 TAS2R39
PSMB7 PSMA8
PSMD9 H2BC13
RACGAP1 ARHGAP11B
DYNC1LI1 CENPU
GNAI1 CCL25
SLC44A2 STING1
PRL PRLR
OR11H6 OR2Z1
PSMB4 PSMB6
KRT84 PKP4
PCNA RPA1
H3C11 PRMT7
NPC2 DNAJC13
PSMA2 PSMB1
CDK9 WDR61
TNRC6B H2BC1
UBC H2AC6
RPL37A RPS18
FDFT1 TGS1
BDKRB2 RHO
RPL18 RPS6
CHUK NFKB1
KRT75 LCE4A
AMFR VCP
TAF5 TAF1L
CEACAM6 DYNC1LI1
OR5T2 OR2L3
OR1L1 OR2T33
PSMB5 H2BC4
PSMC2 PSMD6
RPS14 956536
NDUFC2 CYCS
MAPK3 IQGAP1
CD47 GCA
APP AVPR1A
F2R F13B
F9 PROC
TAF9 UBB
CCR10 CXCL11
HP RAB44
H3C12 H2BC11
KIT KITLG
MRPS12 CHCHD1
ELOB ASB4
TUBB4A KIF2B
PTGER3 RGS18
RPL9 RPLP1
DYNLT2 DYNLL1
BDKRB1 NPBWR2
LMO7 KLHL41
FOXG1 TNRC6C
ZNF354A ZFP69
POLR3A POLR3GL
ESR2 NRG4
PSMB9 UBB
DIS3 EXOSC5
CXCR6 CXCL16
PSMD5 PSMD7
OR8K3 OR2G6
GTF2F2 POLR2L
ZNF471 ZNF160
OR2A4 OR56A4
TUBB4B RAB9B
H2AX H4C5
PLRG1 POLR2A
CASP8 CD14
MLEC TUBB4B
CD44 PSG3
TUBA4A TUBA3D
ERCC2 GTF2E1
H4C8 H3C7
NMBR KALRN
HDAC1 PGR
CETN2 HAUS4
S100A9 NME1-NME2
EP300 TIAM2
COL4A2 ITGA6
POLR2K RPA3
PSMD6 PSMD14
P2RY13 OPN5
MAN1A1 MAN2A2
C5 PRLHR
SP1 UBB
ITGA2B SPP2
ERCC3 TAF6
TSC2 PRKAG3
EEF2 LAIR1
MED16 MED30
MTOR ATG9B
PSMB4 PSMD10
ZFP2 ZNF721
GNGT1 RGS19
BST2 NIT2
UBA52 FBXW2
PSMA4 PSMD11
 CRTAM
H2BC3 H2BC13
SLC66A1 NIPAL4
NFKBIA PSMA6
OR10J5 OR10H5
DYNC1I2 RAD21
YWHAG CNTRL
RPS3A RPL14
ZNF225 ZNF671
PSMD11 PSMF1
FBXL4 ASB15
OR8D4 OR2W3
OR4C3 OR2AT4
GLA LILRA3
COL4A1 COL4A3
GNG5 TRHR
RAD9A RMI1
CDA DSG1
RPL27A RPL35A
DSG1 PRCP
PSEN1 MAML3
PDAP1 CALML5
PSMC2 NCSTN
PSMC6 PSMD13
EVL DSN1
NFATC1 TXK
H2AC8 PSMA7
COL4A2 SERPINE1
BRAF CAMK2A
OR4C15 OR10T2
H3C2 H4C11
POLR2B 100506888
DYNLT2 IFT122
SFN YWHAG
OR1L8 OR5K3
H2BC5 KAT6A
LGALS1 EVA1A
NTHL1 H2BC21
ANAPC7 TRIM39
CCR3 HTR1B
CFTR PSMA6
MET MYD88
GHRHR GIPR
KRT6A SPINK9
EDNRB NMUR1
CLTCL1 COPS2
COL23A1 ADAMTS14
ANO2 BEST3
MFAP3 VTN
IRF1 IRF5
ACTR2 CCT8
PSMA2 PSMD12
ARNT THRAP3
TUBB3 KIF18A
NDUFA3 NDUFS3
SMYD3 H4C15
NUP214 DNAJB6
H2AC6 H2AC4
H2AC18 H2BC4
PPP1CC TUBA1B
H3C10 RUVBL1
H3C11 H2BC12
GNGT1 OR1I1
GNGT1 OR4N4
ZNF658 ZNF331
ALDOB GAPDHS
H4C1 H4C6
MSL2 H2BU1
CAPN1 PRDX1
NUP88 AAAS
POLR2J CDC73
PSMB10 COPS7A
PSMD4 PSMD13
KDM4B UIMC1
TGS1 MED8
NUP98 POM121
ASIC1 RAF1
H2BC3 TERF2
H2AC6 H4C13
HDAC3 CARM1
POLR2E POLR2G
CALCA GIPR
CD36 884327
KRT15 PKP2
ADORA3 NPY4R
PCBP1 SF3B4
PLK4 NINL
RXRA H2BC1
SYT1 SYT12
NMU NPW
EIF3E RPS21
GOLGA1 SCOC
FGA ITGA11
MDM4 STAM2
OR3A1 OR10AD1
VAV1 ARHGEF35
IFNA13 IRF5
FGG FN1
NCBP1 728929
SNAP29 SVIP
ZNF426 ZNF611
B4GALNT1 GBA
OR7C1 OR10AD1
CAPN11 BCAN
KRTAP5-8 KRTAP2-3
H2AC8 H4C9
NXT1 NUP54
COL6A1 COL6A3
OR13C8 OR6F1
OR2AP1 OR4D9
CD36 LHFPL2
H2BC14 H2BC7
HRAS JAK2
PGM1 RNASE2
B2M FGR
ACTR1A TUBA1B
DYNC1I2 CENPT
KLHL3 SENP8
MTHFD2 MTHFD1L
COL5A1 LAMC2
HOXB2 PBX1
CSNK1E AKAP9
PAM16 CHCHD4
GSN TOLLIP
SNAPC2 BDP1
ZNF354A ZNF250
PSMB6 PSMC6
APOA1 GSN
POLR2D POLR2G
HLA-DQA2 JAK2
RPL18 RPS14
POLR2G CCAR1
PSMC4 PSME2
H4C1 H2AC19
AAAS H3C13
AGTR1 APLN
PSMD11 UBA52
TUBB2A TMED7-TICAM2
OR8U1 OR6C3
PSMA1 PSMF1
H3-4 H4C8
H2BC10 TAF1C
CTSA PYGB
TUBA1A NUP133
ARHGAP32 ARHGAP9
ALAS1 CRTC1
ATP6V1C1 ATP6V1E2
RGS13 XCL1
MID1 GBP7
TRAIP FBXL13
KRTAP17-1 KRTAP8-1
CEACAM8 ADA2
PSMC1 PSMD11
NCBP1 SNRPF
GSR YWHAH
ICAM2 COL18A1
ZNF563 ZNF721
H3C1 H3C10
ACTG1 EPHA5
RPSA RPS4X
TERF1 TERF2IP
H2BC3 H2AC14
PPP6C STX17
ALOX5 B4GALT1
FGF5 PTPN11
ULK1 WDR45B
PSMC1 YWHAZ
ATP6V1E1 FNIP1
EGF EREG
DDB1 FEM1C
PCM1 CEP164
RABEP1 TBC1D10A
CD4 AP2S1
PSMD3 PSMD12
EIF2S3 EIF3E
TRAF3 RNF135
GHDC DEFA1B
EIF2S3 RPS15A
TCF7L2 TLE1
ELOC UBA3
PSMA4 USP20
HDAC5 FBXW7
TRIM25 TRIM45
UBE2V2 UBE2U
NCOR2 TBL1XR1
CSNK1G2 ACER3
FER STAT1
SIGLEC7 MICA
CENPC H4C5
NTNG1 LY6G6D
STBD1 TSPAN14
RPS8 EIF3B
GTF2E1 GTF2H3
NUP98 PSMB1
RANBP2 NUP155
CREB1 PER1
SLC25A6 CHCHD5
ACTL6A H2AC7
SEC13 SEH1L
PF4 ADCY4
RAD17 TAF4
IFNA17 DOCK7
H3C11 H2BU1
H2BC6 H3C2
RUNX2 SP7
OR1I1 OR9A2
TNFRSF10D PPP1R13B
CLDN5 OCLN
ELOA CDC73
FOXO4 PSMD5
PSMA3 MYLIP
GAA PKP1
H2BC5 H2BC12
GATA3 H4C6
IL6R H3C10
ZNF514 ZNF679
KRR1 NOL9
CDC34 HLA-DRA
RPL15 RPS15
OR52L1 RTP2
RPL3L RPL7A
POM121 NCBP2
RPL34 RPL36
APLP2 DNAJC3
PSMB10 PSMC1
CAMK2A IRS1
GTF2F2 SUPT4H1
PSMD11 MAD1L1
CTSB DYNC1LI1
H3C15 H2AC19
NPAS2 MED17
PSMB7 PSMB8
H2BC5 H2BC9
OR9A2 OR13F1
PSMD14 ERCC6L
PDGFB RASA1
ACTN4 F8
ROCK1 SLC15A4
ACTG1 L1CAM
F5 SERPINA1
H4C2 H3C15
PSMB1 ANAPC16
PPP2R1B PPP2R5B
RPS6 WDR36
DEFA4 PTX3
KRTAP23-1 KRTAP21-3
H3C3 H4C6
DSP KLK5
MYO9A FAM13B
RPL30 SEC61G
TUBA3E TUBB2B
TUBA3C HDAC8
PSMD14 RPL36
EIF4A3 DDX39A
PSMA7 PSMD8
H2BC13 H2BC12
NRN1L PLET1
TAF4 TP53RK
CHD3 H4C13
KANK1 KCTD6
AKAP10 RCOR1
HTR1B SAA1
RPS21 EIF3G
DYNLL1 CEP164
PAFAH1B1 ANAPC4
PTTG1 PSMD14
MAN1C1 RIC1
CNR1 HCAR1
PSMC5 PSME4
RPL6 SRP68
SNRPG RBMX
H4C5 MINK1
MCHR1 NMUR2
PSMC6 PSMD2
IL13RA2 RHOU
MTM1 RAB14
PIK3CB PLEKHA1
ZNF180 ZNF285
OR6N1 OR1K1
PSMB3 KLHL25
PSMB5 PSMD1
SMARCA5 H2AB1
OR10X1 OR6T1
PSMC3 CARD11
H2AC20 POT1
HDAC1 H4C2
RPA1 GTF2H5
AAAS SCMH1
PSMA7 PSMD7
TOP2B NUP62
ZNF37A ZNF563
UBE2C KLHL5
FBXO4 FZR1
P2RY11 GLP2R
SERPINA3 PDGFA
PSMC4 DZIP3
NPY2R MCHR2
COL16A1 LUM
BIRC5 SGO1
PSMD8 COP1
KRT8 KRT82
EGF PPP2R1A
CUL3 RBX1
AGT GPER1
PLCG1 EIF4A3
ATR SLX1B
HMGA1 155030
SMAD7 TGFBR1
CASR CCL23
PSMC1 SGO2
CFD HRG
GRP P2RY10
PLA2G4F PLA2G4D
UBB UBC
ARHGDIB ARHGAP45
POU2F2 INTS13
GHRHR GLP2R
ARRB1 ARRB2
AURKB TAF9B
CENPA NUP107
S100A9 ENPP4
TOMM7 TIMM23
RPA2 BRIP1
ZNF224 ZNF626
DAP3 MRPS28
H2AX H3C7
FBXO40 ASB18
ADRA2A TAS2R9
POLR2F POLD3
RPL5 RPL38
FBXL19 DCAF17
H4C5 H3C14
PSMD6 FBXL12
OR4X1 OR4F15
OR2B2 OR6F1
MGAM CD93
IRF4 PTPN11
APEH HP
EGR1 LAMTOR5
WNT2 VPS29
OR11H2 OR7G2
PRKACA ADCY4
IFIH1 USP26
SEC13 TOPORS
H2BC1 H2AC19
COL4A4 COL16A1
OR2M3 OR4N4
DYNC1LI2 NUP107
CYP4F2 CYP4A22
PNPLA8 PLAAT5
HSPA6 S100A11
PPP2R5E UBA52
PSMA7 PSMB9
OR1A1 OR51I1
CALM3 RAF1
H4C1 RMI1
H2BC4 H4C14
PSMB6 UBR2
NUP107 SEH1L
NRG1 CXCL12
H4C11 PRDM9
CDK1 H2BC12
EFNA5 MYL12A
IFNA2 DOCK11
CALM3 CAMK2D
RPLP1 RBM8A
ZNF432 ZNF771
EIF4A1 ARIH1
CDKN2B ANAPC5
H3C12 H3C2
UBA52 RNF146
GPC3 LAMB1
H3C2 H4C4
CAMK2G FN1
ELOC ZSWIM8
POLR2A H3C12
A2M PDGFB
ORM1 ATP11A
H2BC14 TERF2IP
DEFA4 YPEL5
PSMB3 PSMB7
MCM3 MCM5
ATP6V1B2 ATP6V0B
PSMB9 PSMD10
COL5A1 ELANE
OR6C76 OR5B3
FGF3 SPTBN2
UBB RNF14
GM2A RAB37
BBS2 CCT2
CRK FGA
PSMD2 CUL9
RPL37A RPS4X
DEFB1 DEFB103A
ZNF703 ZNF778
PSMD7 OSCAR
MKRN1 UBE2R2
ATP7A CYBB
H4C14 H2AJ
RPL7A RPS8
HDAC3 MAMLD1
MVP TBC1D10C
GNG4 GNG2
H2AC8 PSME1
GLP1R GPR20
H2BC7 H2BC9
PTGER1 ARHGEF25
ZNF224 ZNF689
H4C6 H3C14
PSMD7 RPL11
DYNC1H1 TUBB4B
H2AC8 H2BU1
CXCR2 RRH
PSMC6 PSME2
GABBR2 GNB4
RPL5 RPL36
PSMB2 ASXL1
TNNT2 TCAP
RPL3 RPL9
RAB6A YWHAE
DYNC1LI2 ACTR10
MC5R TSHR
IGF1 SHISA5
CASP8 RNF135
HDAC1 H2AJ
KEAP1 KLHL21
RAP1B AGTRAP
PSMC5 PSME2
GCG GNG11
CAB39 ORMDL3
H3C6 POLR1B
GRIN1 FGF22
UBC PSME3
ZNF3 ZNF706
ARF4 KIF5A
ITGA6 COL6A5
ADCY1 HRH3
PIK3CB FRS2
H2BC21 H3C4
PSMA7 PSMB5
FBXW10 DCUN1D5
H3C4 H4-16
RPA3 STK11
PSMA1 H4C4
MET PDGFRA
PSMA2 PSMB4
PSMD11 AKT3
H2AZ1 H2BC6
AR RB1
MYB H3C4
GNAI1 GNG3
H3C4 H2BU1
INTS13 INTS2
OR1L1 OR4K17
RPLP1 PSMB11
RBBP4 MTA3
UCN WNT3A
RPL17 RPLP1
PSME2 SEM1
LRPPRC UQCR11
GNG7 PRKAR1B
PSMC1 PSME2
NUP62 NDC1
FGD3 FGD2
RPL36 RPS4Y2
ZNF202 ZNF208
TXNRD2 GPX8
NBN TOPBP1
DNPH1 NT5C1B
PLA2G3 PLA2G2F
RAD9A H2BC10
HRH2 GPHB5
RPS4Y1 RPS16
HK3 HUWE1
LCK STRN
ZNF443 ZNF317
PSMD6 TAB2
HERC2 FZR1
ZNF160 ZNF585B
AP2B1 TF
HPSE ENPP4
SDCCAG8 NEDD1
PSMA1 PSME2
MT-CO2 MLST8
RACGAP1 ARHGAP31
HOXA1 H2BC14
UGT2B4 UGT1A5
RPS27A ASB18
SPSB4 FBXO15
POT1 H2BC12
H4C13 H3C7
PSMA1 PSMC5
APOA1 HBA1
ITGB2 CD93
ALYREF SARNP
ATAT1 TUBA3E
GNS ACTR10
SERPINB1 ATP11A
HACE1 RNF213
ANXA1 ITGA1
ZNF263 ZNF740
KRT81 KRTAP1-4
H2BC15 H4C12
CBX8 
AGO2 AGO4
OR10A7 OR4D9
PSMD1 RANBP2
ZNF510 ZNF655
SNAP29 ATP11B
H2AX TNRC6A
PSMC4 PSME3
SLC18A3 UBQLN2
CSTA KRT6B
ALMS1 NDE1
RFC5 CHD1L
COL4A1 LAMB1
S1PR3 GPR18
OR7C1 OR10A2
PSMD14 FBXL19
TRIM25 HERC5
RPS10 RPS29
TUBAL3 TUBB1
SLC22A2 PPFIA4
CHML RAB13
TLE2 H2BC14
SLC9A8 SLC9A4
UBE2M KBTBD7
EREG SH3GL3
RPLP1 RPS4Y2
NBN RHNO1
H2AC7 H2BC17
CUL9 WSB2
LAMC2 NID1
H2AX H2BC10
ZNF415 ZNF419
H2AC7 H3C15
TUBB2A CNTRL
SFRP2 TNKS
GREB1 H2AC19
PPP2R5C PSMD2
FBXO21 ASB3
CEACAM1 CRACR2A
SLC25A13 CMC2
RPL32 RPL35
INCENP PPP2R5A
PSMC1 PSMF1
USO1 PPP6R3
UBE4A FBXO4
HNRNPC PPIE
CRH WNT2B
KRBOX4 ZNF671
H2BC14 H2BC7
ZWINT DYNLL2
PPP2R1B PSMB9
IGFALS ANO8
RPLP0 RPS15
PCNT HAUS6
MED16 G0S2
IRAK2 SKP1
RPL9 EIF3B
MRPL24 MRPL55
ITGA2B ITGB8
TUBA1B ZWILCH
GTF2E1 TAF4
CEP290 CEP89
COPS2 FBXW11
CXCL8 TRHR
NFKBIA MAP3K7
GTF2F1 SUPT16H
PSMD7 PSME2
PSG2 SDC2
POLR2K 728929
PSMA2 PSMA5
SPTBN2 COPZ2
KMT2D H3C7
PPIE TRAPPC1
COL2A1 LILRA1
GNAT2 GNG12
PKP1 KRTAP10-12
PRKACA SDCCAG8
HDAC1 H2BC13
KNG1 NMUR2
RBX1 FBXL20
CEBPA MED28
OR2J2 OR2M5
HOXD3 H3C8
OR4C15 OR5K3
OR5P3 OR10A7
GALR2 TAS2R1
E2F2 CUL1
MRPL35 MRPS18A
RPS2 RPL14
RPL10A RPL6
KPNB1 SIGLEC14
OR2B11 OR52H1
TUBA3C ZWINT
KIT AKT3
RUVBL2 ELP4
H2BC10 H2AB1
DYNLL1 SRGAP2
ALDH3B1 PSMD2
CALM1 DLG3
ZNF599 ZNF483
OR6C74 OR6C1
TAF1B POLR1F
PSMB5 RPS19
CETN2 TPX2
PSME2 RPL10
TCF7L2 TLE2
ATXN7L3 SGF29
PSMA3 PSMD11
HMGB1 MAGT1
APLP2 MMP2
H2BC13 H2BC14
GPR132 QRFPR
PSMB6 PSMD7
FGF3 PPP2R5C
STAM2 CHMP2A
SEH1L 956536
PSMB1 COMMD5
CACNA1D CALM1
TIMELESS H2BC11
RPL36 RPL22L1
RAB18 RAB14
PSMD14 HGSNAT
ORC5 PSMB10
KIF1C ARFGAP3
PSMB9 PSMD11
ALDH3B1 ALDH3A2
KITLG RAC1
PCCA MCEE
OR2K2 OR14C36
GNG11 LPAR4
KLHL21 FEM1A
GPX2 RRAGD
OXA1L MRPS34
RPL18 RPL22L1
MAFG PHF21A
REEP4 OR52E2
PSMC6 SPRED2
RPS3 LAS1L
NPY CCL4L2
TAAR5 CRHR1
UBB ERBIN
PSMD10 ZSWIM8
GRIA1 NRGN
DLAT GNMT
RPL18 RPS4X
H2BC13 H2BC9
PHF8 H3C13
EEF2 HK3
CUL1 ASB11
RYK FZD6
COL9A2 COL9A3
KRT36 KRTAP9-4
H2BC7 PSMA8
NEK2 TPTEP2-CSNK1E
RANGAP1 DYNC1LI1
OR9G4 OR11H4
SCNN1G TPCN1
BTC CD80
TUBB4A NSL1
ZFYVE9 USP15
NIT2 DEFA1B
MED14 MED17
OR52E2 OR4D9
GPSM1 GNG12
H4C4 TNIK
PSMB3 PSMC4
CDK7 RPRD1B
TUBA1A GRIN3A
COG8 COG7
DYNC1H1 KIF18A
PSMD8 ANAPC2
GNA14 GNG13
PLA2G5 LIPH
PSMD7 UBB
CALCR VIPR2
PSMD14 UBD
RFC5 POLE3
ACTG1 BRAP
GNG4 FGD4
COL4A3 COL15A1
KRTAP21-3 KRTAP29-1
RPSA RPS29
NCSTN APH1B
AURKAIP1 MRPS14
PPP2CA RPS27A
VCL VWF
ELAVL2 SNRNP27
POLR2D POLR2G
RPS4X RPS13
RPL3 RPS2
RPS17 RPS25
UBE2C ANAPC4
FUS SNURF
CCNH ERCC2
PSMD8 PSMD11
KEAP1 USP30
RPL3 RPS4Y2
SEC24D SEC31A
ZNF543 ZNF233
RPL26 RPLP0
UBE2K UBE2U
PSMA8 H2AC1
OR2M4 OR52B2
OR2AP1 OR10A7
GTF2H1 POLR2D
IKBKB TAB1
CFTR EPS15
GALNT8 POC1B-GALNT4
CHMP5 155348
DCN CSPG5
OR6C4 OR52E4
APLP2 APOOL
GRIA1 PRKCB
COL1A1 COL4A5
NELFE 100506888
CD74 TNFRSF10A
CR1 CFHR3
CSNK1E HAUS4
RPL17 SPCS1
DNAJC3 CUL7
NRAS CNKSR1
KCNC2 KCNH6
UBE2E3 FBXW5
23145 ADAMTS15
PSMB10 PSME4
SFN PPP1R12A
NRAS FGF23
STXBP2 TYK2
MGST1 CDK13
UBE2N CLSPN
HBB CHMP4A
APOA1 RCN1
LTB4R EDNRA
RBPJ PRKCI
DCTN6 TUBA3E
NDUFA1 COX18
ZNF230 ZNF573
RHOG LAT
VAPA TSPAN14
OR4F5 OR4A16
H2BC21 NUP133
PSMD3 TLR2
PDXK ADA2
GRN LAIR1
LRR1 PSMA8
PSMB7 MCEMP1
ALOX15 STAT3
UBC ESPL1
TRIO ROCK2
NPAS2 HDAC3
GNAZ GNB5
POLR2I RBX1
SLC2A3 PDAP1
GPR4 LPAR4
PSMA5 PSMD4
PPARA TXNRD1
ITGAL TREML2
MAPK3 FGF20
POM121 NUP107
FGA NRAS
H2BC5 H4C6
ADAMTS7 ADAMTS9
PRKAG1 TBC1D1
GNG10 GNG12
COG1 TMED3
PSMB6 PSMD10
MRPL4 MRPS25
UBC MBD6
PRG2 PTAFR
KMT5B SMYD2
RPS4Y1 PDCD11
CDC20 UBA3
FGFR4 KLB
SNRPA1 HNRNPA3
CCNC ZNF782
TOR1A SYT9
TAS2R14 TAS2R60
RAB31 BIN2
PSMB3 H2BC13
HSP90AB1 ACTR1A
QSOX1 LY6G6F
CTSO IFI30
PIK3R3 LPAR2
ZNF214 ZNF311
HLA-A TLR1
F2 KNG1
OR8B12 OR2G6
H2AC7 H4C6
PSMD12 TPP2
CCR10 NPB
ADRA2B CXCR2
CTSD PSMC3
POLR2B H2AC20
CSNK1D ALMS1
COL14A1 ADAMTS14
GTF2H1 GTF2H4
ANXA2 TALDO1
OR4C12 OR51V1
SRRM1 FIP1L1
PRTN3 PSMD3
PSMD6 ABCC9
GTF2F1 POLR2B
ZNF566 ZNF530
ICAM4 KLRD1
RPL6 RPL10L
SGO2 SGO1
SKP2 MAP3K7
POLR1D H3C13
ZNF208 ZNF577
RTP3 OR2L13
KRTAP11-1 KRTAP21-3
FGF6 PIK3CA
PPM1B UBE2N
TP53 H4C8
GRM6 HTR1A
CCNB1 TUBB8
ACTR1B ANO6
MAP3K7 HGS
FBL MPHOSPH10
AHR MED6
VDAC2 USP5
H2AC13 USP42
CDK1 LIN37
H2BC11 H2AC19
CFD HEXB
SDCCAG8 TUBGCP5
IL12A JAK1
PSMB2 PSME2
CREBBP H3C14
OR1Q1 OR56A5
CAMP CANT1
OR4D11 OR2T29
CREBBP AHRR
H3-3A H2BC1
EIF4A2 RPS24
PSMA5 PSMD6
RPS21 SENP3
RPL18 RPS21
RAC2 ICOS
RGS16 P2RY13
PELP1 DDX49
ALOX5 NFKB1
PSMC5 VAMP3
ATP2A3 ATP9A
UPF3A RPL39L
PRKAR2A TUBB1
SEC13 NUP58
H2BC3 H2AC18
ZNRF1 LRR1
EFNB2 RAC1
OR2Y1 OR4F21
LIN7A LIN7B
OR51S1 OR5B12
OR4D5 OR10K1
SCN8A SPTBN2
HSPA9 CHCHD4
CPM VNN3
TTF1 ZDHHC2
HCRTR2 RGS4
ATP5F1A ATP5MC3
CEP250 CEP70
MRPL48 MRPL53
FBXW9 CBLL2
ATP5MC1 ATP5ME
PWP2 RPS2
PSMD8 PSME4
HTR2B ARHGEF25
PSMB10 ANAPC11
ST6GALNAC2 SLC17A5
PSMB10 PSMD4
ZNF706 ZNF782
CLIP1 PMF1-BGLAP
RPL13 RPS19
PSMC4 SEM1
PSMC6 FZR1
OR4K15 OR2M2
FBXO2 ASB16
GPR17 CCL4L2
ADCY5 PRKAR2A
GNG10 RGS18
MS4A3 ABCA13
GNA15 GPR68
VDAC3 KEAP1
PSMB2 RPS3A
CENPO CENPU
SENP3 IMP3
ECHS1 HADHA
H3C6 H4C3
KRAS PLCG1
CPNE3 CEP290
MYO9A STARD8
MRPS21 MRPL24
PSMD7 PSMF1
TAS2R14 RGS21
APP ITGB6
PRTN3 SNAP25
IMPDH2 EPX
H2BC5 H2BC9
FBXO44 FBXL16
NOL11 NIP7
ZNF543 ZFP28
MAPKAPK3 H2BC8
TRIP10 STARD13
CSTF1 SNW1
ADAMTS6 THSD7A
PSMA1 PSMD6
PSMD6 CEP290
UBB UBE2F
OR1E2 OR5H1
GRM5 TAS1R1
FOXO4 H2AC1
PSMD11 PSMD13
OR5B2 OR6C75
ALDH3B1 SERPINB3
PPP1R12B MYH14
ELOB HIF3A
DLC1 STARD13
CEP72 CEP76
POM121 956536
885717 886418
NDE1 TUBB2B
CHMP2B CHMP4B
GPR183 TAS2R1
DYSF MYL9
POLR2B POLR2J
WNT11 DHH
VAV1 ARHGEF4
EIF4G1 EIF3D
CAMP PGM1
RAC1 NCKAP1
OR5A2 OR2W3
A1BG RAB14
ARHGAP29 ARHGAP22
PSMA7 ELOC
LIG3 XAB2
ZNF14 ZNF124
ZNF12 ZNF615
OR1S2 441669
COL8A1 ELANE
PPP2CB PPP2R5C
H2AJ CENPO
HMGN1 POLD2
POLR2F U2AF1L4
SRSF4 SRSF9
MTNR1B RGS4
RPS8 RPS4Y2
KNL1 NDEL1
OR2V1 OR4N5
RPL3L RPS16
ZNF682 ZNF737
FOLR3 PYCARD
H2AC6 H2BC8
CALU PPBP
PROKR1 UTS2
STBD1 OLFM4
GADD45GIP1 MRPS36
PSMB2 PSME4
OR2B6 OR8K1
MDM4 AGO3
RPL27A RPS11
HTR1D GNG13
ATP1B1 CALM2
ARIH2 PSMB11
H3C7 H3C14
SERPINA1 CTSA
SIAH1 MIB2
TUBB1 TMED7-TICAM2
ITGB7 LILRA3
PSMB1 H2BC14
MAPK1 ABI1
PECAM1 TMC6
RPL28 RPS9
MRPL47 MRPL53
H2AZ1 H2BU1
H2AC13 TADA3
H2BC21 H3C2
HNRNPM PRPF4
H4C13 CNOT9
NRAS SHC1
ARIH2 UBE3D
CTSG FBN1
AMHR2 SMAD9
FGR HGSNAT
 SFTPA2
MRPL42 MRPL47
TUBA4A TUBA3E
NPY2R RGS21
NCBP1 DDX39B
GPR143 QRFPR
OR7A17 OR4K13
POLE2 USP1
SFN YWHAQ
ZNF221 ZNF214
GHRHR GIPR
SOCS1 KLHL5
SPTB ACTR10
PLK1 TUBB4A
ADD3 AZGP1
PSMB2 PSME2
RAB4A MTMR3
RNF115 RNF111
H2AC8 H2BC8
ACKR3 NPY4R2
OR51M1 OR9K2
UBC PEDS1-UBE2V1
FN1 EMILIN1
PHC1 NUP88
ITGAL AGPAT2
PSMF1 RNF123
UBE2G2 MKRN1
RANBP2 NDC1
ZNF436 ZNF160
MMP8 MMP15
PSMA3 PSMB4
ADRB2 CHRM2
SNRPC SF3A2
CDC25A MAX
LAMA4 LAMC1
NUP214 SEH1L
USP8 RSPO2
TERF1 H2BC6
SREBF1 MED30
RUNX1 H3C8
PRSS3 TCIRG1
H2BC13 H2AJ
KRTAP21-2 KRTAP26-1
H4C14 NUP107
GRM3 TAS2R60
H2AC8 H3C10
UBB RNF135
ACTR2 WASF3
APOE GAS6
PA2G4 RAP2C
PSMD2 PSMD9
ATG3 CHMP6
SRP14 PSMD14
H3C11 H4C4
PSMA6 PSME1
CFP CKAP4
RXRA NCOR2
GAK TGOLN2
PPP2CA NUP85
OR2AK2 OR2T2
RPL37 RPS15
H2AC18 H2AZ2
ADAM10 EGFR
FUCA1 HLA-C
DYNC2I1 DYNLRB2
CCNB1 NUP188
INTS2 INTS4
PTK2B PIK3R2
DES TNNI2
UBE2R2 DTX3L
PLK1 TUBA1A
POLR2D GTF2H5
CFP QSOX1
CASR CCL27
SUDS3 USP17L25
PRSS2 MVP
EEF1A1 LTF
PSMD5 SMC3
TRAF6 PIP4K2C
