YWHAB PRKAG2
KRT85 KRT78
PPP2R5D RCC2
CALM1 JAK2
AGT MED13
H2BC15 TAF6L
RPL29 EEFSEC
CBFB CCND2
CSNK2A2 TNKS
BUB1B NUP98
YES1 EPHA10
TBK1 IFIH1
H4C14 H2AC21
FPR1 TAS2R3
OR1G1 OR8D2
NCAN DCN
C5AR1 RAB44
RHOG SRC
PSME1 ANAPC5
NUP214 NUP62
RBX1 DCAF10
RPL7 EIF3J
TRAF6 CLEC7A
TOMM20 USP17L5
HEXB TIMP2
NUP188 SEH1L
SETD2 H3C13
GADD45A SMAD4
ATM RPA2
MRE11 UIMC1
CCT8 DNAJC5
DST MMP20
H2AC20 H4C3
OPRD1 PNOC
AMPH FNBP1L
ITGAV SPARC
H4C12 H2AZ2
H4-16 H2AC19
OR51G1 OR8K3
ALDH3B1 PLPP2
ARAF KSR1
ADCY9 INTU
PSMA2 PSMB11
PSMC1 PSMD7
RPS16 EIF3J
MED27 ZNF664
KRAS MAPK3
TIMP3 TLN1
C3AR1 SIGLEC14
MAPK4 IGF2BP1
MAP2K6 PSMA6
DSG3 KRT33B
UBE2M ASB2
PSMB8 PSMD7
HDAC1 REST
SUPT7L H2BC1
MAML1 FBXW7
DAP3 MRPL16
PSMA6 TNKS2
ADRA1D FFAR4
PSAP RLN3
GRK5 HCRTR2
RAB4A VAMP2
ARFGAP3 TUBA1C
ATP2A3 ATP13A5
LRRC41 ANKRD9
MRPS24 MRPL57
GTF2A1 GPAM
ZNF350 ZNF684
H4C1 TAF1A
NAPA RAB41
HSPH1 NUP54
PIK3R1 IRS2
ZNF282 ZNF420
PSME1 COP1
RPL17 RPS26
CCR3 CCL16
TUBB2A KIF3A
PPY PSAP
RAD1 CHEK2
DMAP1 H2AC12
CFD PLEKHO2
SYT1 VAMP4
SPTBN2 SPTBN5
ADAM10 MXRA8
HNRNPH1 U2AF1L5
OR3A3 OR51L1
CENPU NUP85
CPNE1 GMFG
OR4C11 OR6C4
CXCL5 TAS2R5
GAPDHS FBXW5
FBN1 HRC
FGFR2 IRAK4
H2BC10 PHF19
PSMB4 TAB2
WNT5A VAMP8
CENPI NDC80
OR5P2 OR4N4
KRTAP4-1 KRTAP19-6
UBR4 KLHL20
RGS12 TAS2R14
